PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,
1,103220716,121892,CCOC(=O)NC1=C(C=C(C=C1)NCC2=CC=C(C=C2)F)N,Active,,,,0.32,Activity,=,0.32,uM
2,103562093,9903497,C1=CC(=C(C=C1C(=O)NC2=CN=C(C=C2)Cl)F)F,Active,,,,0.46,Activity,=,0.46,uM
3,242422031,3111211,CC1=CC(=C(C(=C1)C)NC(=O)C2CC3CCC2C3)C,Active,,,,0.04,Activity,=,0.04,uM
4,404712259,145990174,CS(=O)(=O)C1=CC=CC(=C1)CNC(=O)C2=C(C=CC(=C2)C(F)(F)F)OC3=CC=CC=C3,Active,,,,0.05,Activity,=,0.05,uM
5,404713045,145990676,CS(=O)(=O)C1=CC=CC(=C1)CNC(=O)C2=C(C=CC(=C2)C(F)(F)F)SC3=CC=CC=C3,Active,,,,0.02,Activity,=,0.02,uM
6,404717453,145993495,C[C@@H](C1=CC=CC=C1)NC(=O)[C@H]2CCCC[C@@H]2C3=CC=CC=C3,Active,,,,0.1,Activity,=,0.1,uM
