PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Standard Type,Standard Relation,Standard Value,Standard Units,Activity Comment,Data Validity Comment
RESULT_TYPE,,,,,,,,STRING,STRING,FLOAT,STRING,STRING,STRING
RESULT_DESCR,,,,,,,,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM,Additional comments,Comment reflecting whether the values for this activity measurement are likely to be correct
1,381839688,66829757,C1=CC(=CC(=C1)C2=C(C=CC(=C2)F)CC(C3=CN=CC=C3)C4=CN=CC=C4)C#N,Unspecified,,,,Inhibition,=,47,%,,
2,381840452,137633993,C1=CC(=NC(=C1)N)C(CC2=C(N=CC=C2)C3=CC(=CC(=C3)Cl)Cl)C4=CN=CC=C4,Unspecified,,,,Inhibition,=,57,%,,
3,381841879,66829565,CS(=O)(=O)NC1=CC=CC(=N1)C2=C(C=CC(=C2)F)CC(C3=CN=CC=C3)C4=CN=CC=C4,Inconclusive,,,Potential missing data,Inhibition,,,,Not Determined,
4,381842732,66829709,C1=CC(=CC(=C1)Cl)C2=C(C=CC=N2)CC(C3=CN=CC=C3)C4=CN=CC=C4,Unspecified,,,,Inhibition,=,36,%,,
5,381844050,16722242,C1=CC=C(C(=C1)C2=C(C=CC=N2)C(C(C3=CN=CC=C3)C4=CN=CC=C4)O)Cl,Unspecified,,,,Inhibition,=,-0.5,%,,
6,381849505,137640060,CC1=C(C=CC(=C1)F)C2=CC=CC=C2C(C#N)C(C3=CN=CC=C3)C4=CN=CC=C4,Unspecified,,,,Inhibition,=,9.2,%,,
7,381850366,137640626,C1=CC=NC(=C1)C(C2=CN=CC=C2)C(C3=C(N=CC=C3)C4=CC(=CC(=C4)Cl)Cl)O,Inconclusive,,,Potential missing data,Inhibition,,,,Not Determined,
8,381851347,67264841,C1=CC(=CC(=C1)C(F)(F)F)C2=C(C=CC(=C2)F)CC(C3=CN=CC=C3)C4=CN=CC=C4,Inconclusive,,,Potential missing data,Inhibition,,,,Not Determined,
9,381852935,137642361,C1=CC(=CC(=C1)Cl)C2=C(C=CC=N2)C(C(C3=CN=CC=C3)C4=CN=CC=C4)O,Unspecified,,,,Inhibition,=,4.1,%,,
10,381855535,67264950,C1=CC=C(C(=C1)CC(C2=CN=CC=C2)C3=CN=CC=C3)C4=CC=NC=C4,Inconclusive,,,Potential missing data,Inhibition,,,,Not Determined,
11,381855624,137644191,C1=CC(=CC(=C1)C(F)(F)F)C2=C(C=CC=N2)CC(C3=CN=CC=C3)C4=NC(=CC=C4)N,Unspecified,,,,Inhibition,=,42,%,,
12,381856349,67264691,C1=CC=C(C=C1)C2=CC=CC=C2CC(C3=CN=CC=C3)C4=CN=CC=C4,Inconclusive,,,Potential missing data,Inhibition,,,,Not Determined,
13,381857841,16662313,CN(C1=CN=CC=C1)C2=C(C=CC=N2)CC(C3=CN=CC=C3)C4=CN=CC=C4,Unspecified,,,,Inhibition,=,5,%,,
14,381857895,137645732,CC(=O)NC(C1=CC=CC=C1C2=CC(=CC(=C2)Cl)Cl)C(C3=CN=CC=C3)C4=CN=CC=C4,Unspecified,,,,Inhibition,=,0.1,%,,
15,381859606,137646880,CN(C)C(=O)C1=CC=CC(=C1)C2=C(C=CC=N2)CC(C3=C(N=CC=C3)F)C4=NC(=NC=C4)N,Unspecified,,,,Inhibition,=,61,%,,
16,381859813,137647028,C1=CC(=CC(=C1)C(F)(F)F)C2=C(C=CC=N2)CC(C3=C(N=CC=C3)F)(C4=C(N=CC=C4)F)O,Unspecified,,,,Inhibition,=,16,%,,
17,381861642,66829616,C1=CC=C(C(=C1)C2=C(C=CC=N2)CC(C3=CN=CC=C3)C4=CN=CC=C4)Cl,Unspecified,,,,Inhibition,=,24,%,,
18,381864807,66829595,C1=CC(=CC(=C1)OC(F)(F)F)C2=C(C=CC=N2)CC(C3=CN=CC=C3)C4=CN=CC=C4,Unspecified,,,,Inhibition,=,67,%,,
19,381866196,137651362,C1=CC(=CN=C1)C(CC2=C(C=C(C=C2)F)C3=CNN=C3)C4=CN=CC=C4,Inconclusive,,,Potential missing data,Inhibition,,,,Not Determined,
20,381866291,137651426,C1=CC(=CC(=C1)C(F)(F)F)C2=C(C=CC=N2)[C@@H](C(C3=CN=CC=C3)C4=CN=CC=C4)O,Unspecified,,,,Inhibition,=,-14,%,,Outside typical range
21,381867768,66829485,C1=CC=C2C(=C1)C=NC=C2C3=CC=CC=C3CC(C4=CN=CC=C4)C5=CN=CC=C5,Unspecified,,,,Inhibition,=,77,%,,
22,381868182,66829310,COC1=CC=CC(=C1)C2=C(C=CC=N2)CC(C3=CN=CC=C3)C4=CN=CC=C4,Unspecified,,,,Inhibition,=,15,%,,
23,381870158,137654037,C1=CC(=CC(=C1)Cl)C2=C(C=CC=N2)C(C(C3=CN=CC=C3)C4=NC=CO4)O,Unspecified,,,,Inhibition,=,16,%,,
24,381873269,137656105,C1=CC(=CN=C1)C(CC2=C(N=CC=C2)C3=CC(=CC(=C3)Cl)Cl)(C4=CN=CC=C4)O,Unspecified,,,,Inhibition,=,10,%,,
25,381873348,67264671,C1CC1C2=C(C=CC(=C2)F)CC(C3=CN=CC=C3)C4=CN=CC=C4,Inconclusive,,,Potential missing data,Inhibition,,,,Not Determined,
26,381878242,66829372,CS(=O)(=O)NC1=CC=CC(=C1)C2=C(C=CC(=C2)F)CC(C3=CN=CC=C3)C4=CN=CC=C4,Unspecified,,,,Inhibition,=,42,%,,
27,381879820,16722295,C1=CC(=CN=C1)C(C2=CN=CC=C2)[C@H](C3=C(N=CC=C3)C4=CC(=CC(=C4)Cl)Cl)O,Unspecified,,,,Inhibition,=,5.7,%,,
