PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Standard Type,Standard Relation,Standard Value,Standard Units
RESULT_TYPE,,,,,,,,STRING,STRING,FLOAT,STRING
RESULT_DESCR,,,,,,,,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM
1,103220716,121892,CCOC(=O)NC1=C(C=C(C=C1)NCC2=CC=C(C=C2)F)N,Unspecified,,,,Emax,=,99,%
2,103555997,53276,CCOC(=O)NC1=C(N=C(C=C1)NCC2=CC=C(C=C2)F)N,Unspecified,,,,Emax,=,112,%
3,163312929,68750421,CC(C)(C)CC(=O)NC1=NN2C=CC=NC2=C1C3=CC=C(C=C3)F,Unspecified,,,,Emax,=,109,%
4,163330055,68751383,CC(C)(C)CC(=O)NC1=NN2C=CC=NC2=C1C3=CC=C(C=C3)OC(F)(F)F,Unspecified,,,,Emax,=,143,%
5,440112045,155512041,CC1=C(C=CC(=C1)C2=C3N=CC=CN3N=C2NC(=O)CCC4CCCC4)F,Unspecified,,,,Emax,=,169,%
6,440122411,155518903,C1CCC(C1)CC(=O)NC2=NN3C=CC=NC3=C2C4=CC=C(C=C4)OC(F)(F)F,Unspecified,,,,Emax,=,88,%
7,440123281,68751940,C1CCC(CC1)CCC(=O)NC2=NN3C=CC=NC3=C2C4=CC=CC=C4,Unspecified,,,,Emax,=,137,%
8,440124580,155520231,CC1=C(C=CC(=C1)C2=C3N=CC=CN3N=C2NC(=O)CC4CCCC4)F,Unspecified,,,,Emax,=,139,%
9,440127643,68748693,C1CCC(C1)CCC(=O)NC2=NN3C=CC=NC3=C2C4=CC=C(C=C4)OC(F)(F)F,Unspecified,,,,Emax,=,114,%
10,440131346,155524628,CC(C)(C)C1=CC=NC2=C(C=NN12)NC(=O)CC3=CC(=CC(=C3)F)F,Unspecified,,,,Emax,=,149,%
11,440131829,68753054,CC1=C(C=CC(=C1)C2=C3N=CC(=CN3N=C2NC(=O)CCC4CCCC4)C)F,Unspecified,,,,Emax,=,99,%
12,440136738,155528145,CC1=CC(=NC2=C(C(=NN12)NC(=O)CC3CCCC3)C4=CC(=C(C=C4)F)C)C,Unspecified,,,,Emax,=,165,%
13,440138544,155529317,C1CCC(CC1)CC(=O)NC2=NN3C=CC=NC3=C2C4=CC=CC=C4,Unspecified,,,,Emax,=,133,%
14,440142440,155531900,CC1=C(C=CC(=C1)C2=C3N=CC(=CN3N=C2NC(=O)CC4CCCC4)C)F,Unspecified,,,,Emax,=,168,%
15,440143896,155532852,CC1=C(C=CC(=C1)C2=C3N=CC=CN3N=C2NC(=O)CC(C)(C)C)F,Unspecified,,,,Emax,=,135,%
16,440149812,155536705,CC(C)(C)CC(=O)NC1=NN2C=CC=NC2=C1C3=CC=C(C=C3)C(F)(F)F,Unspecified,,,,Emax,=,113,%
17,440150297,155537025,C1CCC(CC1)C(=O)NC2=NN3C=CC=NC3=C2C4=CC=CC=C4,Unspecified,,,,Emax,=,8,%
18,440156580,68747418,C1CCC(C1)CCC(=O)NC2=NN3C=CC=NC3=C2C4=CC=C(C=C4)C(F)(F)F,Unspecified,,,,Emax,=,115,%
19,440171868,155546475,CC(C)(C)CC(=O)NC1=NN2C=CC=NC2=C1C3=CC=CC=C3,Unspecified,,,,Emax,=,26,%
20,440182906,68752933,CC1=CC(=NC2=C(C(=NN12)NC(=O)CC(C)(C)C)C3=CC(=C(C=C3)F)C)C,Unspecified,,,,Emax,=,177,%
21,440191333,155554230,C1CCC(C1)CC(=O)NC2=NN3C=CC=NC3=C2C4=CC=C(C=C4)F,Unspecified,,,,Emax,=,100,%
22,440195764,155555975,C1CCC(C1)C(=O)NC2=NN3C=CC=NC3=C2C4=CC=C(C=C4)F,Unspecified,,,,Emax,=,20,%
23,440197802,68753268,C1CCC(C1)CCC(=O)NC2=NN3C=CC=NC3=C2C4=CC=C(C=C4)F,Unspecified,,,,Emax,=,139,%
24,440199217,155557417,CC1=C(C=CC(=C1)C2=C3N=CC(=CN3N=C2NC(=O)CC(C)(C)C)C)F,Unspecified,,,,Emax,=,159,%
25,440204871,155559647,C1CCC(C1)CC(=O)NC2=NN3C=CC=NC3=C2C4=CC=C(C=C4)C(F)(F)F,Unspecified,,,,Emax,=,28,%
26,440220301,155565753,CC1=CC(=NC2=C(C(=NN12)NC(=O)CCC3CCCC3)C4=CC(=C(C=C4)F)C)C,Unspecified,,,,Emax,=,205,%
