PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Standard Type,Standard Relation,Standard Value
RESULT_TYPE,,,,,,,,STRING,STRING,FLOAT
RESULT_DESCR,,,,,,,,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM
1,440109776,155510560,CCOC(=O)NC1=C(C=C(C=C1)N(CC#C)CC2=CC=C(C=C2)F)NC(=O)OC(C)C,Unspecified,,,,Ratio,=,5.01
2,440112889,155512598,CC(C)OC(=O)NC1=C(C=C(C=C1)N(CC#C)CC2=CC=C(C=C2)F)NC(=O)OC(C)C,Unspecified,,,,Ratio,=,1.33
3,440113866,155513238,CCOC(=O)NC1=C(C=CC(=C1)N(CC#C)CC2=CC=C(C=C2)F)NC(=O)OC(C)(C)C,Unspecified,,,,Ratio,=,7.71
4,440116279,155514840,C#CCN(CC1=CC=C(C=C1)F)C2=CC(=C(C=C2)NC(=O)OC3=CC=CC=C3)NC(=O)OC4=CC=CC=C4,Unspecified,,,,Ratio,=,1.22
5,440116640,155515060,CCOC(=O)NC1=C(C=C(C=C1)N(CC#C)CC2=CC=C(C=C2)F)NC(=O)OC,Unspecified,,,,Ratio,=,2.56
6,440123389,155519554,CCOC(=O)NC1=C(C=C(C=C1)N(CC#C)CC2=CC=C(C=C2)F)NC(=O)OCC(C)C,Unspecified,,,,Ratio,=,5.19
7,440123864,90377311,CCOC(=O)NC1=C(C=C(C=C1)N(CC#C)CC2=CC=C(C=C2)F)NC(=O)OCC,Unspecified,,,,Ratio,=,5.68
8,440125881,155521071,CC(C)(C)OC(=O)NC1=C(C=C(C=C1)N(CC#C)CC2=CC=C(C=C2)F)NC(=O)OC(C)(C)C,Unspecified,,,,Ratio,=,3.05
9,440126109,71558371,COC(=O)NC1=C(C=C(C=C1)N(CC#C)CC2=CC=C(C=C2)F)NC(=O)OC,Unspecified,,,,Ratio,=,4.77
10,440127135,155521887,CCCCOC(=O)NC1=C(C=CC(=C1)N(CC#C)CC2=CC=C(C=C2)F)NC(=O)OCC,Unspecified,,,,Ratio,=,4.16
11,440130895,155524319,CCOC(=O)NC1=C(C=C(C=C1)N(CC2=CC=C(C=C2)F)C/C(=C/C)/C)NC(=O)OCC,Unspecified,,,,Ratio,=,2.36
12,440130989,155524391,CCOC(=O)NC1=C(C=C(C=C1)N(CC=C)CC2=CC=C(C=C2)F)NC(=O)OCC,Unspecified,,,,Ratio,=,2.21
13,440137568,155528676,CC(C)COC(=O)NC1=C(C=C(C=C1)N(CC#C)CC2=CC=C(C=C2)F)NC(=O)OCC(C)C,Unspecified,,,,Ratio,=,1.52
14,440139997,155530262,CCCCOC(=O)NC1=C(C=C(C=C1)N(CC#C)CC2=CC=C(C=C2)F)NC(=O)OCCCC,Unspecified,,,,Ratio,=,2.75
15,440142986,71558836,CCOC(=O)NC1=C(C=C(C=C1)N(CC2=CCCCC2)CC3=CC=C(C=C3)F)NC(=O)OCC,Unspecified,,,,Ratio,=,1.49
16,440145517,155533935,C#CCN(CC1=CC=C(C=C1)F)C2=CC(=C(C=C2)NC(=O)OC3CC3)NC(=O)OC4CC4,Unspecified,,,,Ratio,=,1.51
17,440147022,155534943,CCOC(=O)NC1=C(C=C(C=C1)N(CC=C(C)C)CC2=CC=C(C=C2)F)NC(=O)OCC,Unspecified,,,,Ratio,=,3.63
18,440155236,155539626,C#CCN(CC1=CC=C(C=C1)F)C2=CC(=C(C=C2)NC(=O)OC3CCCC3)NC(=O)OC4CCCC4,Unspecified,,,,Ratio,=,0.88
19,440180314,155549888,CCOC(=O)NC1=C(C=C(C=C1)N(CC#C)CC2=CC=C(C=C2)F)NC(=O)OCC=C,Unspecified,,,,Ratio,=,3.68
20,440184989,155551763,C#CCN(CC1=CC=C(C=C1)F)C2=CC(=C(C=C2)NC(=O)OCC3=CC=CC=C3)NC(=O)OCC4=CC=CC=C4,Unspecified,,,,Ratio,=,3.02
21,440188319,155553070,CCOC(=O)NC1=C(C=C(C=C1)N(C/C=C/C)CC2=CC=C(C=C2)F)NC(=O)OCC,Unspecified,,,,Ratio,=,1.85
22,440198210,155557008,C#CCN(CC1=CC=C(C=C1)F)C2=CC(=C(C=C2)NC(=O)OC3CCC3)NC(=O)OC4CCC4,Unspecified,,,,Ratio,=,1.21
23,440203441,155559073,CCOC(=O)NC1=C(C=C(C=C1)N(CC#C)CC2=CC=C(C=C2)F)NC(=O)OCC3=CC=CC=C3,Unspecified,,,,Ratio,=,1.27
24,440203805,71558689,CCOC(=O)NC1=C(C=C(C=C1)N(CC#CC2=CC=CC=C2)CC3=CC=C(C=C3)F)NC(=O)OCC,Unspecified,,,,Ratio,=,1.54
25,440208332,155560988,CCCOC(=O)NC1=C(C=C(C=C1)N(CC#C)CC2=CC=C(C=C2)F)NC(=O)OCCC,Unspecified,,,,Ratio,=,2.58
26,440210622,155561917,C=CCOC(=O)NC1=C(C=C(C=C1)N(CC#C)CC2=CC=C(C=C2)F)NC(=O)OCC=C,Unspecified,,,,Ratio,=,2.21
27,440220538,155565833,CCCOC(=O)NC1=C(C=CC(=C1)N(CC#C)CC2=CC=C(C=C2)F)NC(=O)OCC,Unspecified,,,,Ratio,=,3.95
28,440224101,155567226,CCOC(=O)NC1=C(C=C(C=C1)N(CC#C)CC2=CC=C(C=C2)F)NC(=O)OC(C)(C)C,Unspecified,,,,Ratio,=,6.37
