PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,
1,461520573,155272065,C[C@@H](C1=NC(=NO1)C2=CC(=NC=C2)C(F)(F)F)NC(=O)C3=CC(=NN3C)C(F)(F)F,Active,,,,0.622,IC50,=,622,nM
2,461527109,155272360,C[C@@H](C1=NC(=NO1)C2=CC(=NC=C2)COC)NC(=O)C3=CC(=NN3C)C(F)(F)F,Unspecified,,,,17.14,IC50,=,17140,nM
3,461530749,155271993,C[C@@H](C1=NC(=NO1)C2=CC(=NC=C2)C(F)F)NC(=O)C3=CC(=NN3C)C(F)(F)F,Active,,,,1.251,IC50,=,1251,nM
4,461541078,155272188,C[C@@H](C1=NC(=NO1)C2=CC(=NC=C2)C3CC3)NC(=O)C4=CC(=NN4C)C(F)(F)F,Active,,,,1.143,IC50,=,1143,nM
5,461550338,162668113,CC1=NC=CC(=C1)C2=NOC(=N2)[C@H](C)NC(=O)C3=CC(=NN3C)C(F)(F)F,Unspecified,,,,14.5,IC50,=,14500,nM
6,461552327,162669536,C[C@@H](C1=NC(=NO1)C2=CC(=NC=C2)OC)NC(=O)C3=CC(=NN3C)C(F)(F)F,Active,,,,3.001,IC50,=,3001,nM
7,461554296,155272250,C[C@@H](C1=NC(=NO1)C2=CC(=NC=C2)NC)NC(=O)C3=CC(=NN3C)C(F)(F)F,Unspecified,,,,30,IC50,>,30000,nM
