PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units,Activity Comment
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM,Additional comments
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,,
1,103567337,13088125,C1C(COC(O1)C2=CC=CC=C2)([N+](=O)[O-])Br,Active,,,,8.9,EC50,=,8900,nM,
2,103567339,11537181,CC1(CC(=O)C(C(=O)C1)C(=O)NC2=CC=CC(=C2)C(F)(F)F)C,Unspecified,,,Potential missing data,,Activity,,,,Not Evaluated
3,103567340,11646221,CC1(CC(=O)C(C(=O)C1)C(=O)NC2=C(C=C(C=C2)Cl)C(F)(F)F)C,Unspecified,,,Potential missing data,,Activity,,,,Not Evaluated
4,103567341,44450626,C1CCC2=C(C1)C(=O)C(C2=O)C(=O)NC3=CC=C(C=C3)[N+](=O)[O-],Unspecified,,,Potential missing data,,Activity,,,,Not Evaluated
5,103567368,13703975,CC1(OCC(CO1)([N+](=O)[O-])Br)C,Unspecified,,,,16.7,EC50,=,16700,nM,
